item_id,name,description,summary
18,Ladymade Star,노래하는 쌍둥이의 느낌을 살리기 위해\n다른 음색으로 두 번 녹음 된\n보컬사운드에 주목해봐요!,
19,Shining My Boy,AstroKid의 큐트감성 폭발!\n감성적인 멜로디와 상큼한 보이스가\n묘한 매력을 주는 곡입니다.,
20,영원,BEXTER 의 Modern Rock 넘버.\nMiya 의 보컬과 Planetboom의\n기타 피처링 역시 감상포인트!,
21,OUT LAW - Reborn,OUT RAW Mr Funky Style을 입다.\n리드믹했던 기존 곡과는 달리\n과감한 신스 사용이 돋보입니다.,
22,Gone Astray,몽환적인 분위기를 주도하는 보컬과\n반전되는 강렬한 기타사운드는\n이 곡이 가진 양면성을 잘 보여줍니다.,
23,Mr.Lonely,NieN 의 강렬한 기타사운드 넘버!\n90년대 기타 솔로곡을 연상시키는\n리드기타와 솔로잉을 즐겨주세요! ,
24,EGG,Pop넘버인 EGG는 신스를 배제한\n밴드사운드로 어쿠스틱만이 가질 수\n있는 생동감을 느끼게 해줍니다.,
25,MonoXide,Planet Core 시리즈의 최신작.\n기계음과 날카로운 기타사운드로\n구성된 반복의 묘미를 느껴보세요~,
26,Blythe,루프음이 강렬한 DnB의 정석.\n몽환적인 분위기의 멜로디와\n신비로운 보컬에 빠져봅시다!,
27,OrBiTal,요즘 잘나가는 Dup Trance 곡!\n철학적인 뮤직비디오와 만나\n기묘한 스타일을 자아냅니다.,
28,"My Heart, My Soul",가벼운 느낌의 R&B 곡.\n3rd Coast 특유의 보컬과\n래핑이 어우러진 힐링뮤직!,
29,Now a New Day,신스음과 톡톡튀는 보컬\n많은 사랑을 받았던 뮤직비디오 또한\n주목해주세요~,
30,Leave me Alone,울부짖는 보컬과 과격한 리프.\n절제된 기타플레이는\n이것이 진정 Hard Core 임을 외칩니다.,
31,Renovation,XeoN의 진면목을 느껴라.\n긴박함과 간결함의 절묘한 조화!\nMelodic Trance Renovation.,
32,Mellow D Fantasy,NieN이 선사하는 멋진 사운드.\nDJMAX로 돌아온 Sanch의 보이스와\n절묘한 멜로디의 어울림을 즐기세요!,
33,La Campanella : Nu Rave,원곡의 아름다운 프레이즈를 가져가며\nRave의 느낌을 가미한 격렬한 넘버!\n빠르기에 주의하여 플레이!,
34,First Kiss,유명 작곡가 BJJ DJMAX 데뷔!\n그가 선사하는 산뜻한 사랑느낌은\nFirst Kiss 처럼 달콤하게 전해집니다.,
35,Luv Yourself,NDLEE x 소찬휘 DJMAX에서 의기투합!\n한번뿐인 인생 멋지게 살자는\n그들의 메시지를 들어보세요!,
36,In My Heart,Tsukasa의 Pop 넘버. 주로 피아노를\n사용한 Trance 장르를 선보였던 그의\n또다른 모습을 주목해주세요!,
37,Y,NDLee의 Acid House곡.\n매력적인 여성 보컬과 화려한\n기타사운드의 향연을 즐겨봅시다. ,
38,Angel,Euro Dance의 파워와 경쾌함!\n질주하는 비트속에 어우러지는\n보컬과 신스의 완벽한 만남!,
39,Alone,다소 독특한 장르인 Heal을 내세운 곡.\n현악기의 평온한 느낌과 보컬의 조화가\n전하는 치유의 음악을 느껴보세요.,
40,Watch Your Step,XeoN이 선보이는 Dance 넘버.\n정통 House Pop느낌의 흥겨운 곡으로\n90년대의 향수를 불러일으킵니다.,
41,Love is Beautiful,Electronic Boutique의 가볍게 즐길 수\n있는 Rock 곡. 신스사운드와 시원한\n드럼비트가 매력적인 곡입니다.,
42,Black Swan,질주하는 피아노의 선율과\n어둡게 깔리는 기타사운드의 조화는\n마치 비장함까지 들게합니다.,
43,Get On Top,Funky한 분위기를 주도하는\nPlanetboom의 기타솔로!\n몰아치는 그의 funky style!,
44,Trip,Easy listening지향의 편안한 곡인 Trip.\n여행을 기대하는 소녀의 마음이\n생동감 넘치는 BGA로 표현되었습니다.,
45,The MAX,NDLee가 들려주는 DJMAX Anthem!\n화려한 브라스 축제느낌의 사운드와\nE.M의 카리스마 Rap 역시 감상포인트! ,
46,Cosmic Fantastic Lovesong,Ani Pop장르의 상큼한 Lovesong.\n귀여운 음색의 보컬은 두근대는 소녀의\n마음을 표현했습니다.,
47,Light House,동물들의 울음소리가 재미있는\nHappy Hardcore 장르의 Light house!\n즐거운 사운드를 살린 패턴에 주목!,
48,Just for Today,보이쉬한 여성보컬~!\n무겁게 깔리는 기타와 대비되는\n보이스는 곡의 매력을 더해줍니다.,
49,I Want You,경쾌한 분위기의 House Dance!\n귀여운 보이스와 중독적 코러스는\nI want you를 흥얼거리게 합니다.,
50,Heart of Witch,마녀의 심장처럼 뜨거운 전개\n몰아치는 피아노와 현악기의 앙상블!\n빠른템포에 주의하세요.,
51,피아노 협주곡 1번,차이코프스키의 현대적 귀환!\n속도감을 살리는 다양한 악기의 사용은\n재미와 감동을 즐기기에 충분합니다.,
52,Love☆Panic,커피숍에서 펼쳐진 사랑이야기.\n매력적인 보컬과 아기자기한 BGA는\n첫사랑의 설레는 느낌을 전해줍니다.,
53,VORTEX,Electronic Boutique의 신곡 등장!\n고조되는 리듬과 절제된 멜로디 속의\n다양한 효과음이 멋지게 어울립니다.,
54,Mukilteo Beach,CROOVE의 본격 후크송!\n여운이 남는 후렴구가 매력적이예요~\nMukilteo Beach로 출발!,
55,Retention,Q 에서 최초 공개되는 신곡!\n곡 전반을 아우르는 바이올린 선율과\n신스 아르페지오의 만남이 돋보입니다.,
56,Luv is True,컬러풀하며 발랄한 Pop 곡.\n싱그러운 보이스와 스피디한 랩의\n멋진 어우러짐을 즐겨봅시다.,
57,DIVINE SERVICE,"이국적 사운드의 애수의 멜로디\n극적으로 몰아치는 피아노 사운드!\n느껴보세요, Divine Service.",
58,Cherokee,xxdbxx가 선사하는 중독성 트랜스!\n감각적 비트구성과 신스음!\n특유의 타격감을 느껴보세요!,
59,Take on Me,House Dance 스타일의 곡으로\nCuve의 감각적 편곡이 돋보입니다.\n타이포 연출도 주목!,
60,Everything,편안하게 즐길 수 있는 Pop곡.\n포근한 느낌의 뮤직비디오도\n같이 즐겨주세요!,
61,SuperSonic (Mr.Funky Remix),클럽느낌의 Supersonic!\n어깨가 들썩이는 흥겨움에\n우리모두 빠져봅시다!,
62,Keys to the world,Planetboom의 파워풀 사운드!\n무겁고 빠르게 질주하는 기타리프!\n그에 어우러지는 샤우팅에 주목!,
63,아침형 인간,레트로 느낌의 8bit 넘버.\nDJMAX Classic의 화려한 귀환!\nMiya의 상큼 보이스도 감상포인트!,
64,Fate,오리엔탈 느낌의 힙합 곡.\n독특한 보이스로 전해지는\n신선한 힙합을 즐겨보세요!,
65,Brand NEW Days,희망을 노래하는 Planetboom의 메시지!\n폭발하는 기타사운드와 화려한 보컬!\nBrand NEW Days!,
66,Ruti'n,"어쿠스틱 기타의 그루브한 리프에\n랩과 펑키기타의 절묘한 만남!\nBexter Style의 정수, Ruti'n!",
67,Festa Nova,TerraMycin의 DJMAX 데뷔곡!\nTropical Jazz 장르의 Festa Nova.\n기대만큼 완벽한 사운드를 느껴주세요!,
68,SuperSonic 2011,Supersonic의 색다른 편곡!\nSoundlab의 멤버들이 출현하는\n뮤직비디오 역시 감상포인트!,
69,STOP,3rd Coast의 새로운 시도!\n속도감이 특징인 Stop!\n스피드 랩핑에 주목하여 즐겨주세요!,
70,Desperado,거친 랩이 돋보이는 Desperado는\nOut Law의 후속작이라는 비밀!\nModern하고 Chic한 분위기를 느껴보세요.,
71,별빛정원,Vneld의 DJMAX 데뷔곡!\n청순미 넘치는 곡풍과\n아름다운 뮤직비디오를 즐겨주세요!,
72,Thor,"XeoN 카리스마의 시작, Thor!\n드디어 Q에 등장!\n멜로딕 트랜스의 진수를 느껴봅시다.",
73,Fermion,"Makou의 폭풍 트랜스 미학!\n질주하는 신디사이저의 매력을 느껴보세요!\n카리스마 만점, Fermion!",
74,Remember,"세련된 비트와 서정적 보컬의 만남!\n속도감 속에서의 잔잔함이 돋보이는\nRemember, 귀 기울여 보세요!",
75,Here in the Moment,따뜻한 느낌의 Samba Sound!\n명장 Ruby Tuesday가 전하는 세련미!\n흥겨운 비트와 함께 즐거운 플레이~,
76,Son of Sun,추장이 Q로 돌아왔다!\nGabber 장르 특유의 빠른 속도와\n거친 사운드에 주의하여 즐겨주세요!,
77,Hello Pinky,"추억의 명곡, Q에서 만나보세요!\n파워풀한 기타사운드와 현란한 신스사운드\n그 안에 넘나드는 발랄한 보컬에 주목!",
78,Someday,NieN특유의 하드한 기타사운드와\n애절한 음색의 보컬의 조화.\n그 간절함까지 느껴보세요.,
79,Your Own Miracle,DJMAX포터블2 메인테마로 유명한 곡.\n보컬과 신스사운드의 멋진 어울림!\nQ에서도 음악과의 커뮤니케이션!,
80,The Guilty,트럼펫사운드가 매력적인 The Guilty.\n중독성넘치는 섹션연주와\n속도감 만점의 funk를 느껴보세요~,
81,Rage Of Demon,파워풀Rock은 NieN의 전매특허!\n그의 ROD시리즈 5번째곡으로\n하드한 사운드에 주목!,
82,Season (Warm Mix),"어쿠스틱기타와 비트의 세련미,\n소울풀한 보컬의 편안한 감성.\n음악감상하듯 즐겨주세요.",
83,바람에게 부탁해 Live Mix,Live의 참맛! 생동감 넘치는 편곡으로\n원곡의 잔잔한 분위기에서 대폭 반전!\n질주하는 기타솔로에 특히 주목!,
84,Dream of Winds,Buildup트랜스의 박진감!\n중반의 피아노로 시작되는 반전과\n후반의 엄청난 공세에 주의하세요!,
85,Fallen Angel,기타사운드의 리드로\n점점 고조되는 분위기의 매력.\n최고의 타격감까지 놓치지마세요!,
86,Hanz up!,Mr.Funky의 신나는 Hiphouse!\n실사와 캐릭터의 어울림이\n돋보이는 뮤직비디오에 주목!,
87,You & Me,발랄한 분위기의 K-Pop!\nTrip곡의 연장선상의 곡으로\nNieN의 Pop스타일을 느껴봐요!,
88,Airwave,"멜로딕트랜스의 정수,Q에서 부활!\n반복적 멜로디와 고조되는 분위기\n끝까지 놓을수 없는 긴장감을 느껴라.",
89,Burn It Down,"과격한 기타리프,반항적 보컬과 MIX!\nP'sycho-remi의 격한매력을 느껴보자!\n직접 부른 보컬에 주목!",
90,Never Say,"NDLee의 흑인음악감성 폭발!\n그의 DJMAX 데뷔곡,Never say!\nTECHNIKA Q에서 새롭게 부활!",
91,Miles,"서정적 멜로디,이국적 타악기의 조화.\n중반부의 몰아치는 신스의 향연!\n연주의 감동을 느낄 수 있는 명곡.",
92,Emblem,평화로운 분위기와\nIrish sound의 어우러짐\n반복의 미학까지 즐겨주세요.,
93,Thor (Deep'in Absonant Mix),Technika Q 최초의 롱버전 수록곡\nThor remix로 결정!\n그대로의 카리스마를 느껴봅시다!,
94,HEXAD,곡을 리드하는 전자음과\n박력넘치는 비트의 매력!\n모두 같이 빠져봅시다.,
95,Dual Strikers,긴장감 만점의 트랜스 곡\n스펙터클한 뮤직비디오 역시\n같이 즐겨주세요!,
96,Puzzler,다소 생소한 장르인 Toy Pop곡\n중반부의 신스 솔로가 멋들어집니다.\n팝아트적 뮤직비디오도 즐겨주세요.,
97,SIN,합시코드와 피아노음으로 시작되는\n속도감 만점의 Drum n Bass!\n후반부의 폭풍같은 전개에 주목!,
98,You should get over me,"정통파 Rock넘버, Q에 드디어 등장!\n우먼파워가 느껴지는 보컬과\n열정적인 기타리프에 빠져봅시다.",
99,Kal_wrnw,전자음으로 표현된 박력만점 리프!\n8bit 감성의 뮤직비디오와의 만남!\n세련미의 극치를 느껴주세요.,
100,End of the Moonlight,속도감 있는 전개와 피아노의 향연\n수려한 보컬이 돋보이는 명곡\n몽환적 분위기를 즐겨보아요.,
101,XEUS,XeoN Trance의 집대성!\n부드럽지만 긴장감 넘치는 전개!\n서정적 피아노라인 역시 최고!,
102,D2,명곡 죽음의 무도와 DnB의 만남\n속도감과 비트가 강조되어\n원곡 특유의 짖궂음을 잘 표현하고 있다.,
103,Deborah,paul bazooka x lucy.\n세련된 전자음과 감각적 보컬의 향연!\n절묘한 믹스에 감성충전!,
104,Liar,White Blue로 명성을 떨친 zts의 신곡!\n그의 특유의 트랜스 감성에 빠져봅시다.,
105,Sunny Side,"DJMAX 역사의 산 증인과도 같은 곡, 드디어 Q에 수록!\n원곡의 감동을 Q에서 즐겨보세요.",
106,"고백, 꽃, 늑대 Part.2",Part.1 과는 상반된 역동성을 가진\nviolin trance곡. 곡의 몰입도와 긴장감을\n살려주는 바이올린 선율을 느껴보세요.,
107,Play The Future,테크토닉의 느낌을 살렸습니다!\n밀도있는 전자음의 앙상블을\n마음껏 즐겨주세요.,
108,Landscape,묵직한 리듬을 넘나드는 피아노선율\n곡의 매력을 더하는 최고의 BGA\n영상미까지 즐겨주세요!,
109,Dear My Lady,디스코와 일렉트로닉의 만남\n디스코로 세상을 변화시키는\n내용을 담은 BGA에 주목!,
110,Beyond The Future,반복되는 멜로디와\n변칙적 리듬이 매력적인 곡\n흥겹게 즐겨주세요.,
111,Access,시원한 리듬이 인상적인 Access!\n중반부의 반전과 고조되는 리듬을 느껴보세요!,
112,Coastal Tempo,상쾌한 코러스 멜로디 라인이 인상적!\n이것이 바로 3rd Coast 스타일!,
113,Enemy Storm,CROOVE의 Storm 시리즈가 Q에 등장!\nDynamic? Enemy Storm! CROOVE!,
114,SuperSonic,S4 League의 인기있는 BGM!\n빠른 비트의 기타 사운드는\n노래 제목과 완벽하게 일치합니다.,
115,Cozy Quilt,밝은 분위기의 재즈 멜로디.\n파스텔 풍의 귀여운 뮤직비디오.\n하지만 반전이!?,
116,Jupiter Driving,DJMAX의 서막을 이끈 정통 Techno를\n이제 Q에서도 즐겨 주세요.,
117,Give Me 5,소울풀한 멜로디가 하우스 장르와 조합.\n감각적인 사운드와 개성 있는 BGA는\n오직 Q에서만 즐길 수 있습니다.,
118,Dream Again,DINY의 두 번째 Ani Pop이\nQ에 수록!\n달콤한 멜로디와 보컬을 즐겨주세요.,
119,Feel Ma Beat,힙합과 메탈의 만남.\nNieN의 기타 사운드와\nBGA가 어울려 강렬함을 선사합니다.,
120,Memory of Beach,Genre : Dance Pop\nArtist : M2U,
121,The Clear Blue Sky,Genre : J-POP\nArtist : Tsukasa,
122,Jealousy,Genre : Marble House\nArtist : 3rd coast,
123,Whiteblue,Genre : Trance\nArtist : zts,
124,Honeymoon,Genre : Acid Pop\nArtist : Humming Urban Stereo,
125,Chemical Slave,Genre : Euro Dance\nArtist : XeoN,
126,Put'Em Up,Genre : Reggaeton-Like\nArtist : makou,
127,Cypher Gate,Genre : Hi-Break Core\nArtist : 7 Sequence,
128,Luv Flow (Funky House Mix),Genre : Funky House\nArtist : Paul Bazooka,
129,XLASHER,Genre : Slash Core\nArtist : Hosoe Shinji,
130,Say It From Your Heart,Genre : Classic Handbag\nArtist : makou,
131,Bamboo on Bamboo,Genre : Gabba\nArtist : Sampling Masters MEGA,
132,Fallin' in LUV,Genre : Luv Pop\nArtist : 3rd Coast,
133,Colours of Sorrow,Genre : Colours POP\nArtist : Tsukasa,
134,area7,Genre : Trance\nArtist : Sphazer,
135,outofctrl,Genre : Drum & Bass\nArtist : Mr.Funky,
136,rockstar,Genre : Electro House\nArtist : Mr.Funky,
137,Dark Prism,Genre : Melodic Trance\nArtist : Tsukasa,
138,Right Back,Genre : UK Hardcore\nArtist : TANUKI,
139,Grave Consequence,Genre : DNB Trance\nArtist : Tsukasa,
140,Beat U Down,Genre : Euro Beat\nArtist : makou,
141,BEE-U-TIFUL,Genre : Drum'n Bass\nArtist : FIRST AID,
142,Sweet Dream,Genre : House Dance\nArtist : Lin-G,
143,Showdown,Genre : Brass Funk\nArtist : LeeZu,
144,AD2222,Genre : Junkno\nArtist : CROOVE,
145,Over the Rainbow,Genre : Ani Pop\nArtist : Tsukasa,
146,Fly Away,Genre : Trance\nArtist : XeoN,
147,Wanna Be Your Lover,Genre : Euro Dance\nArtist : Laurent Newfield,
148,SuperNova,Genre : Rave\nArtist : cranky,
149,The Rain Maker,Genre : Epic Trance\nArtist : Paul Bazooka,
150,IF,Genre : Rock\nArtist : Vanilla Unity,
151,Melody,Genre : Cute POP\nArtist : bermei.inazawa/UC,
152,The Last Dance,Genre : india Hip-Hop\nArtist : Urbatronic Chopsticks,
153,Secret World,Genre : Teenpop\nArtist : Sweetune,
154,Lovely Hands,Genre : Space Pop\nArtist : Planetboom,
155,Ready Now,Genre : Euro Dance\nArtist : Ruby Tuesday,
156,Voyage,Genre : Broken Beat\nArtist : makou,
157,Shoreline,Genre : Balearic House\nArtist : Oriental ST8,
158,In My Dream,Genre : Mental Metal\nArtist : NDLee,
159,glory day,Genre : J-Rock\nArtist : BEXTER x Mycin.T,
160,glory day (Japanese Version),Genre : J-Rock\nArtist : BEXTER x Mycin.T,
161,Over Your Dream,Genre : Pop Rock\nArtist : xxdbxx,
162,Mind Control,Genre : Modern Hard Rock\nArtist : NieN,
163,The One,Genre : Happy 2Step\nArtist : Paul Bazooka,
164,Break!,Genre : Synth Pop Rock\nArtist : Mr.Funky,
165,A.I,Genre : Techno\nArtist : Forte Escape,
166,Nova (Mr.Funky Remix),Genre : Nu Skool Breakz\nArtist : Mr.Funky,
167,Zet (Mr.Funky Remix),Genre : Indie Dance\nArtist : Mr.Funky,
168,Masai (Electro House Mix),Genre : Electro House\nArtist : Paul Bazooka,
169,Enemy Storm (Dark Jungle Mix),Genre : Dark Jungle\nArtist : Paul Bazooka,
170,NB Ranger - Virgin Force,Genre : Hard Rock\nArtist : NieN,
171,NB POWER,Genre : AniRock\nArtist : NieN,
172,Hamsin,Genre : Trance\nArtist : makou,
173,OBLIVION (Rockin' Night Style),Genre : Rock\nArtist : NieN,
174,레모네이드,Genre : Lounge DnB\nArtist : M2U,
175,Silent Clarity,Genre : Art CORE\nArtist : Tsukasa,
176,NANO RISK,Genre : DnB Core\nArtist : Dayz,
177,Rolling On the Duck,Genre : Core & Metal\nArtist : NieN,
178,Don't Die,Genre : Drum'n Bass\nArtist : Paul Bazooka,
179,Remains Of Doom,Genre : Industrial Rock\nArtist : NieN,
180,CLOSER,Genre : Pure House\nArtist : 3rd Coast,
181,A Life With You,Genre : Broken Beat\nArtist : makou,
182,Nevermind,Genre : Epic Trance\nArtist : Paul Bazooka,
183,Binary World,Genre : Melodic Trance\nArtist : Tsukasa,
184,JBG,Genre : Yellow Hiphop\nArtist : CROOVE,
185,GET OUT,Genre : RnB Hip Hop\nArtist : NDLee,
186,Can We Talk,Genre : Acid jazz\nArtist : Forte Escape,
187,Never Ending TECHNIKA,Genre : Electro Funk\nArtist : Studio LAY-BACK,
188,Child of Night,Genre : Electro House\nArtist : GOTH,
189,KILLER BEE,Genre : Trap Hop\nArtist : GOTH,
190,Shadow Flower,Genre : Pop\nArtist : ned,
191,U.A.D,Genre : Future House\nArtist : HAYAKO,
10001,Q 스타터 패키지,"뮤직팩 1 ~ 3, 블랙 노트, 안티 게임오버, 블루진 스킨으로 구성되어 있습니다.?mb=251","3개의 뮤직팩\n아이템, 노트, 스킨?8,9,10,11,12,13,14,15,16,17,18,19,40001,90006,100006"
10002,Q 파워 패키지,"뮤직팩 1 ~ 5, NB Ranger 노트, 블루진, 레오파드 스킨으로 구성되어 있습니다.?mb=425","5개의 뮤직팩\n노트, 스킨?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,40001,90007,100006,100007"
10003,Q 프리미엄 패키지,"뮤직팩 1 ~ 8, 크리스탈 노트, 블루진, 레오파드, 하드보일드 스킨으로 구성되어 있습니다.?mb=688","8개의 뮤직팩\n노트, 스킨?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40001,90008,100006,100007,100008"
10004,Q 컴플리트 박스,"뮤직팩 1 ~ 11, 한정 스킨, 컴플리트 박스 전용 신규 음원 4곡까지! 파격적인 가격으로 판매하고 있습니다!!?mb=1029","11개의 뮤직팩\n테크니카Q 전용 신곡\n컴플리트 한정 스킨?8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,40001,90006,90007,90008,100006,100007,100008,100009"
11001,NEW STARTER PACK,새롭게 시작하는 당신을 위해 준비했습니다.,
11002,HYBRID PACK,모두 만족할 수 있는 상품으로 엄선했습니다.,
11003,SUPER VALUE 30,30곡! 마음대로! 이 할인율 실화입니까??,
11004,CHRISTMAS PACK,크리스마스를 기념하는 패키지입니다!,
11005,4 LINE STARTER PACK,4 LINE STARTER PACK,
11006,Director's Choice PACK,Director's Choice PACK,
11007,OLD & NEW Pack,OLD & NEW Pack,
20001,Q 뮤직팩 1,Q 뮤직팩 1 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=80,"8,9,10,11"
20002,Q 뮤직팩 2,Q 뮤직팩 2 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=84,"12,13,14,15"
20003,Q 뮤직팩 3,Q 뮤직팩 3 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=86,"16,17,18,19"
20004,Q 뮤직팩 4,Q 뮤직팩 4 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=86,"20,21,22,23"
20005,Q 뮤직팩 5,Q 뮤직팩 5 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=87,"24,25,26,27"
20006,Q 뮤직팩 6,Q 뮤직팩 6 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=88,"28,29,30,31"
20007,Q 뮤직팩 7,Q 뮤직팩 7 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=89,"32,33,34,35"
20008,Q 뮤직팩 8,Q 뮤직팩 8 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=85,"36,37,38,39"
20009,Q 뮤직팩 9,Q 뮤직팩 9 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=84,"40,41,42,43"
20010,Q 뮤직팩 10,Q 뮤직팩 10 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=86,"44,45,46,47"
20011,Q 뮤직팩 11,Q 뮤직팩 11 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=81,"48,49,50,51"
20012,Q 뮤직팩 12,Q 뮤직팩 12 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=81,"56,57,59,72"
20013,Q 뮤직팩 13,Q 뮤직팩 13 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=81,"60,61,62,63"
20014,Q 뮤직팩 14,Q 뮤직팩 14 입니다.\n컴플리트 박스 한정 곡으로 구성되어 있습니다.?mb=83,"52,53,54,55"
20015,Q 뮤직팩 15,Q 뮤직팩 15 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=83,"64,65,67,73"
20016,Q 뮤직팩 16,Q 뮤직팩 16 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=84,"74,75,76,77"
20017,Q 뮤직팩 17,Q 뮤직팩 17 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=82,"78,79,80,81"
20018,Q 뮤직팩 18,Q 뮤직팩 18 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=85,"82,83,84,85"
20019,Q 뮤직팩 19,Q 뮤직팩 19 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=83,"58,66,86,87"
20020,Q 뮤직팩 20,Q 뮤직팩 20 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=86,"68,69,70,71"
20021,Q 뮤직팩 21,Q 뮤직팩 21 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=90,"88,89,90,91"
20022,Q 뮤직팩 22,Q 뮤직팩 22 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=92,"92,93,94,95"
20023,Q 뮤직팩 23,Q 뮤직팩 23 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=89,"96,97,98,99"
20024,Q 뮤직팩 24,Q 뮤직팩 24 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=90,"100,101,102,103"
20025,Q 뮤직팩 25,Q 뮤직팩 25 입니다.\n4개의 곡이 무료로 제공됩니다.?mb=101,"104,105,106,107"
20026,Q 뮤직팩 26,Q 뮤직팩 26 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=102,"108,109,110,111"
20027,Q 뮤직팩 27,Q 뮤직팩 27 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=103,"112,113,114,115"
20028,Q 뮤직팩 28,Q 뮤직팩 28 입니다.\n4개의 곡으로 구성되어 있습니다.?mb=104,"116,117,118,119"
30001,지미,경험치를 올려주는\n파트너 아이템입니다.,EXP + {0}%
30002,시아,경험치를 올려주는\n파트너 아이템입니다.,EXP + {0}%
30003,싱싱이,경험치를 올려주는\n파트너 아이템입니다.,EXP + {0}%
30004,제시,경험치를 올려주는\n파트너 아이템입니다.,EXP + {0}%
30005,스텔라,경험치를 올려주는\n파트너 아이템입니다.,EXP + {0}%
30006,사각머리,MAX를 더 많이 얻게 해주는\n파트너 아이템입니다.,MAXPOINT + {0}%
30007,에그빈,MAX를 더 많이 얻게 해주는\n파트너 아이템입니다.,MAXPOINT + {0}%
30008,테드디비어스,MAX를 더 많이 얻게 해주는\n파트너 아이템입니다.,MAXPOINT + {0}%
30009,호시노 카호,MAX를 더 많이 얻게 해주는\n파트너 아이템입니다.,MAXPOINT + {0}%
30010,플래니타,MAX를 더 많이 얻게 해주는\n파트너 아이템입니다.,MAXPOINT + {0}%
30011,유미란,게이지 회복률을 올려주는\n파트너 아이템입니다.,RECOVER + {0}%
